# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesRequestsMs,1771102757173000000,1771102817220000000,0
StorageLockContext.competingThreads.avg,1771102757173000000,1771102817220000000,0.23214285714285715
MappedFileStorage.totalPagesMapped,1771102757173000000,1771102817220000000,6
DirectByteBufferAllocator.hits,1771102757173000000,1771102817220000000,3
StorageLockContext.competingThreads.max,1771102757173000000,1771102817220000000,7
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1771102757173000000,1771102817220000000,395313152
MappedFileStorage.totalTimeSpentOnMappingUs,1771102757173000000,1771102817220000000,812058
FileChannelInterruptsRetryer.totalRetriedAttempts,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.totalPagesReadMs,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.totalPagesWritten,1771102757173000000,1771102817220000000,0
FilePageCache.totalPageDisposalsUs,1771102757173000000,1771102817220000000,17619
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1771102757173000000,1771102817220000000,1750
FilePageCacheLockFree.totalClosedStoragesReclaimed,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.totalPagesAllocated,1771102757173000000,1771102817220000000,0
FilePageCache.pageFastCacheHits,1771102757173000000,1771102817220000000,26474
DiskQueryRelay.tasksExecuted,1771102757173000000,1771102817220000000,62
DiskQueryRelay.tasksRequested,1771102757173000000,1771102817220000000,62
DiskQueryRelay.taskExecutionTotalTimeUs,1771102757173000000,1771102817220000000,472311
DiskQueryRelay.taskWaitingTotalTimeUs,1771102757173000000,1771102817220000000,504215
cacheStateStorage.get.counter,1771102757173000000,1771102817220000000,3
cacheStateStorage.get.duration,1771102757173000000,1771102817220000000,0
cacheStateStorage.set.counter,1771102757173000000,1771102817220000000,0
cacheStateStorage.set.duration,1771102757173000000,1771102817220000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1771102757173000000,1771102817220000000,2
Indexing.cache.totalCacheMisses,1771102757173000000,1771102817220000000,0
Indexing.writesQueuedAvg,1771102757173000000,1771102817220000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1771102757173000000,1771102817220000000,0
Indexing.cache.totalCacheEvicted,1771102757173000000,1771102817220000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1771102757173000000,1771102817220000000,0
IndexesFlusher.totalFlushesRetried,1771102757173000000,1771102817220000000,6
Indexing.cache.totalCacheAccesses,1771102757173000000,1771102817220000000,0
Indexing.totalTimeIndexersSleptMs,1771102757173000000,1771102817220000000,0
IndexesFlusher.totalFlushes,1771102757173000000,1771102817220000000,143
IndexesFlusher.totalFlushingTimeUs,1771102757173000000,1771102817220000000,2988136
Indexing.writer_2.totalTimeSpentWritingMs,1771102757173000000,1771102817220000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1771102757173000000,1771102817220000000,0
IndexesFlusher.totalContentionQuotaSpent,1771102757173000000,1771102817220000000,332
Indexing.writesQueuedMin,1771102757173000000,1771102817220000000,0
Indexing.writesQueuedMax,1771102757173000000,1771102817220000000,0
VFS.fileChildByName,1771102757173000000,1771102817220000000,27
FileNameCache.totalMisses,1771102757173000000,1771102817220000000,0
VFS.contentStorage.recordsStored,1771102757173000000,1771102817220000000,30
VFS.fileByIdCache.hits,1771102757173000000,1771102817220000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1771102757173000000,1771102817220000000,0
VFS.contentStorage.recordsReadSize,1771102757173000000,1771102817220000000,0
VFS.invertedFileNameIndex.requests,1771102757173000000,1771102817220000000,0
VFS.contentStorage.recordsReadDecompressed,1771102757173000000,1771102817220000000,0
VFS.contentStorage.recordsDeduplicated,1771102757173000000,1771102817220000000,0
VFS.contentStorage.recordsStoredCompressed,1771102757173000000,1771102817220000000,1
FileNameCache.queries,1771102757173000000,1771102817220000000,0
VFS.contentStorage.recordsStoredSize,1771102757173000000,1771102817220000000,48927
VFS.contentStorage.recordsUncompressedSize,1771102757173000000,1771102817220000000,54322
VFS.fileByIdCache.misses,1771102757173000000,1771102817220000000,0
VFS.contentStorage.recordsRead,1771102757173000000,1771102817220000000,0
FlushQueue.waitingTime90PNs,1771102757173000000,1771102817220000000,0
AWTEventQueue.eventsDispatched,1771102757173000000,1771102817220000000,0
FlushQueue.tasksExecuted,1771102757173000000,1771102817220000000,0
FlushQueue.queueSizeMax,1771102757173000000,1771102817220000000,0
AWTEventQueue.dispatchTimeMaxNs,1771102757173000000,1771102817220000000,0
FlushQueue.waitingTimeAvgNs,1771102757173000000,1771102817220000000,0.0
FlushQueue.waitingTimeMaxNs,1771102757173000000,1771102817220000000,0
WriteAction.executionsCount,1771102757173000000,1771102817220000000,0
FlushQueue.executionTimeAvgNs,1771102757173000000,1771102817220000000,0.0
ReadAction.executionsCount,1771102757173000000,1771102817220000000,40964
FlushQueue.queueSize90P,1771102757173000000,1771102817220000000,0
FlushQueue.executionTimeMaxNs,1771102757173000000,1771102817220000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1771102757173000000,1771102817220000000,444432
NonBlockingReadAction.failedExecutionsCount,1771102757173000000,1771102817220000000,0
FlushQueue.executionTime90PNs,1771102757173000000,1771102817220000000,0
AWTEventQueue.dispatchTime90PNs,1771102757173000000,1771102817220000000,0
NonBlockingReadAction.failedExecutionTimeUs,1771102757173000000,1771102817220000000,0
NonBlockingReadAction.finalizedExecutionsCount,1771102757173000000,1771102817220000000,9
AWTEventQueue.dispatchTimeAvgNs,1771102757173000000,1771102817220000000,0.0
FlushQueue.queueSizeAvg,1771102757173000000,1771102817220000000,0.0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1771102817220000000,1771102877218000000,0
workspaceModel.global.updates.ms,1771102817220000000,1771102877218000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1771102817220000000,1771102877218000000,0
workspaceModel.load.cache.metadata.from.file.ms,1771102817220000000,1771102877218000000,0
workspaceModel.do.save.caches.ms,1771102817220000000,1771102877218000000,0
jps.global.initialize.library.bridges.ms,1771102817220000000,1771102877218000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1771102817220000000,1771102877218000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1771102817220000000,1771102877218000000,0
jps.global.handle.before.change.events.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1771102817220000000,1771102877218000000,0
workspaceModel.global.apply.state.to.project.ms,1771102817220000000,1771102877218000000,0
jps.library.entities.serializer.save.entities.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1771102817220000000,1771102877218000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1771102817220000000,1771102877218000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1771102817220000000,1771102877218000000,0
jps.global.get.libraries.ms,1771102817220000000,1771102877218000000,1
workspaceModel.save.cache.to.file.ms,1771102817220000000,1771102877218000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1771102817220000000,1771102877218000000,0
jps.app.storage.content.reader.load.component.ms,1771102817220000000,1771102877218000000,0
jps.load.initial.state.ms,1771102817220000000,1771102877218000000,0
jps.global.initialize.library.bridges.after.loading.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.entities.ms,1771102817220000000,1771102877218000000,0
workspaceModel.sync.entities.ms,1771102817220000000,1771102877218000000,0
workspaceModel.load.cache.from.file.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1771102817220000000,1771102877218000000,0
jps.save.global.entities.ms,1771102817220000000,1771102877218000000,0
jps.global.get.library.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1771102817220000000,1771102877218000000,0
workspaceModel.global.updates.count,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1771102817220000000,1771102877218000000,0
jps.library.entities.serializer.load.entities.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1771102817220000000,1771102877218000000,0
jps.global.get.library.by.name.ms,1771102817220000000,1771102877218000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1771102817220000000,1771102877218000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1771102817220000000,1771102877218000000,0
jps.global.handle.changed.events.ms,1771102817220000000,1771102877218000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1771102817220000000,1771102877218000000,4
workspaceModel.mutableEntityStorage.to.snapshot.ms,1771102817220000000,1771102877218000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1771102817220000000,1771102877218000000,0
workspaceModel.mutableEntityStorage.instances.count,1771102817220000000,1771102877218000000,2
FilePageCache.disposedBuffers,1771102817220000000,1771102877218000000,0
FilePageCache.pageHits,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalPagesReclaimed,1771102817220000000,1771102877218000000,0
StreamlinedBlobStorage.recordsAllocated,1771102817220000000,1771102877218000000,5
FilePageCacheLockFree.housekeeperTurnsDone,1771102817220000000,1771102877218000000,0
DirectByteBufferAllocator.reclaimed,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalPagesRequested,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalPagesHandedOver,1771102817220000000,1771102877218000000,0
DirectByteBufferAllocator.disposed,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalPagesWriteMs,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalBytesWritten,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1771102817220000000,1771102877218000000,0
MappedFileStorage.storages,1771102817220000000,1771102877218000000,6
FilePageCache.pageLoads,1771102817220000000,1771102877218000000,0
FilePageCache.totalPageLoadsUs,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.heapBytesInUse,1771102817220000000,1771102877218000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1771102817220000000,1771102877218000000,0
FilePageCache.uncachedFileAccess,1771102817220000000,1771102877218000000,0
StorageLockContext.competingThreads.90P,1771102817220000000,1771102877218000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1771102817220000000,1771102877218000000,148
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1771102817220000000,1771102877218000000,0
FilePageCache.maxRegisteredFiles,1771102817220000000,1771102877218000000,1045
